  x  ,    Xe  ,   ne   , 
-45.822 , 1.25242e-25 , 1.58375e+34 , 
-45.8215 , 1.25242e-25 , 1.58133e+34 , 
-45.8209 , 1.25242e-25 , 1.57891e+34 , 
-45.8204 , 1.25242e-25 , 1.57649e+34 , 
-45.8199 , 1.25242e-25 , 1.57408e+34 , 
-45.8194 , 1.25242e-25 , 1.57167e+34 , 
-45.8189 , 1.25242e-25 , 1.56926e+34 , 
-45.8184 , 1.25242e-25 , 1.56686e+34 , 
-45.8179 , 1.25242e-25 , 1.56446e+34 , 
-45.8174 , 1.25242e-25 , 1.56207e+34 , 
-45.8169 , 1.25242e-25 , 1.55968e+34 , 
-45.8164 , 1.25242e-25 , 1.55729e+34 , 
-45.8158 , 1.25242e-25 , 1.55491e+34 , 
-45.8153 , 1.25242e-25 , 1.55253e+34 , 
-45.8148 , 1.25242e-25 , 1.55015e+34 , 
-45.8143 , 1.25242e-25 , 1.54778e+34 , 
-45.8138 , 1.25242e-25 , 1.54541e+34 , 
-45.8133 , 1.25242e-25 , 1.54305e+34 , 
-45.8128 , 1.25242e-25 , 1.54068e+34 , 
-45.8123 , 1.25242e-25 , 1.53833e+34 , 
-45.8118 , 1.25242e-25 , 1.53597e+34 , 
-45.8112 , 1.25242e-25 , 1.53362e+34 , 
-45.8107 , 1.25242e-25 , 1.53128e+34 , 
-45.8102 , 1.25242e-25 , 1.52893e+34 , 
-45.8097 , 1.25242e-25 , 1.52659e+34 , 
-45.8092 , 1.25242e-25 , 1.52426e+34 , 
-45.8087 , 1.25242e-25 , 1.52192e+34 , 
-45.8082 , 1.25242e-25 , 1.51959e+34 , 
-45.8077 , 1.25242e-25 , 1.51727e+34 , 
-45.8072 , 1.25242e-25 , 1.51495e+34 , 
