 ell ,  cell_TT , 
1081 , 1470.44 , 
1082 , 1462.96 , 
1083 , 1455.49 , 
1084 , 1448.02 , 
1085 , 1440.57 , 
1086 , 1433.13 , 
1087 , 1425.72 , 
1088 , 1418.33 , 
1089 , 1410.97 , 
1090 , 1403.64 , 
1091 , 1396.35 , 
1092 , 1389.1 , 
1093 , 1381.9 , 
1094 , 1374.75 , 
1095 , 1367.65 , 
1096 , 1360.62 , 
1097 , 1353.65 , 
1098 , 1346.74 , 
1099 , 1339.91 , 
1100 , 1333.15 , 
1101 , 1326.48 , 
1102 , 1319.89 , 
1103 , 1313.39 , 
1104 , 1306.97 , 
1105 , 1300.63 , 
1106 , 1294.39 , 
1107 , 1288.23 , 
1108 , 1282.17 , 
1109 , 1276.19 , 
1110 , 1270.32 , 
1111 , 1264.53 , 
1112 , 1258.84 , 
1113 , 1253.25 , 
1114 , 1247.76 , 
1115 , 1242.37 , 
1116 , 1237.09 , 
1117 , 1231.9 , 
1118 , 1226.82 , 
1119 , 1221.85 , 
1120 , 1216.98 , 
1121 , 1212.22 , 
1122 , 1207.57 , 
1123 , 1203.04 , 
1124 , 1198.61 , 
1125 , 1194.31 , 
1126 , 1190.11 , 
1127 , 1186.04 , 
1128 , 1182.08 , 
1129 , 1178.25 , 
1130 , 1174.53 , 
1131 , 1170.94 , 
1132 , 1167.48 , 
1133 , 1164.14 , 
1134 , 1160.93 , 
1135 , 1157.85 , 
1136 , 1154.9 , 
1137 , 1152.08 , 
1138 , 1149.39 , 
1139 , 1146.85 , 
1140 , 1144.43 , 
1141 , 1142.16 , 
1142 , 1140.03 , 
1143 , 1138.04 , 
1144 , 1136.19 , 
1145 , 1134.49 , 
1146 , 1132.93 , 
1147 , 1131.52 , 
1148 , 1130.27 , 
1149 , 1129.16 , 
1150 , 1128.21 , 
1151 , 1127.4 , 
